2028-12-26;wtorek;Bo¿e Narodzenie (drugi dzieñ)
2029-04-01;niedziela;Wielkanoc
2029-04-02;poniedzia³ek;Poniedzia³ek Wielkanocny
2029-05-01;wtorek;Œwiêto Pracy
2029-05-03;czwartek;Œwiêto Konstytucji 3 maja
2029-05-20;niedziela;Zes³anie Ducha Œwiêtego (Zielone Œwi¹tki)
2029-05-31;czwartek;Bo¿e Cia³o
2029-08-15;œroda;Œwiêto Wojska Polskiego, Wniebowziêcie Najœwiêtszej Maryi Panny
2029-11-01;czwartek;Wszystkich Œwiêtych
2029-11-11;niedziela;Œwiêto Niepodleg³oœci
2029-12-25;wtorek;Bo¿e Narodzenie (pierwszy dzieñ)
2029-12-26;œroda;Bo¿e Narodzenie (drugi dzieñ)
2030-01-01;wtorek;Nowy Rok, Œwiêtej Bo¿ej Rodzicielki
2030-01-06;niedziela;Trzech Króli (Objawienie Pañskie)
2030-04-21;niedziela;Wielkanoc
2030-04-22;poniedzia³ek;Poniedzia³ek Wielkanocny
2030-05-01;œroda;Œwiêto Pracy
2030-05-03;pi¹tek;Œwiêto Konstytucji 3 maja
2030-06-09;niedziela;Zes³anie Ducha Œwiêtego (Zielone Œwi¹tki)
2030-06-20;czwartek;Bo¿e Cia³o
2030-08-15;czwartek;Œwiêto Wojska Polskiego, Wniebowziêcie Najœwiêtszej Maryi Panny
2030-11-01;pi¹tek;Wszystkich Œwiêtych
2030-11-11;poniedzia³ek;Œwiêto Niepodleg³oœci
2030-12-25;œroda;Bo¿e Narodzenie (pierwszy dzieñ)
2030-12-26;czwartek;Bo¿e Narodzenie (drugi dzieñ)
